model,noise_type,snr_train,snr_test,accuracy
noise-aware,dog_bark_foreground,9,3,0.8842535787321063
baseline,dog_bark_foreground,9,6,0.9177914110429448
noise-aware,dog_bark_foreground,9,6,0.905521472392638
baseline,dog_bark_foreground,9,9,0.92719836400818
noise-aware,dog_bark_foreground,9,9,0.9233128834355828
baseline,dog_bark_foreground,9,12,0.9347648261758691
noise-aware,dog_bark_foreground,9,12,0.9353783231083844
baseline,dog_bark_foreground,9,15,0.9386503067484663
noise-aware,dog_bark_foreground,9,15,0.9456032719836401
baseline,dog_bark_foreground,9,18,0.9421267893660532
noise-aware,dog_bark_foreground,9,18,0.9505112474437628
baseline,dog_bark_foreground,9,21,0.9462167689161555
noise-aware,dog_bark_foreground,9,21,0.9531697341513292
baseline,dog_bark_foreground,9,24,0.9503067484662576
noise-aware,dog_bark_foreground,9,24,0.9556237218813906
baseline,dog_bark_foreground,9,27,0.9511247443762781
noise-aware,dog_bark_foreground,9,27,0.9552147239263804
baseline,dog_bark_foreground,9,30,0.9529652351738241
noise-aware,dog_bark_foreground,9,30,0.9543967280163599
baseline,dog_bark_foreground,12,-3,0.8558282208588958
noise-aware,dog_bark_foreground,12,-3,0.8274028629856851
baseline,dog_bark_foreground,12,0,0.8824130879345603
noise-aware,dog_bark_foreground,12,0,0.8556237218813906
baseline,dog_bark_foreground,12,3,0.9030674846625767
noise-aware,dog_bark_foreground,12,3,0.878118609406953
baseline,dog_bark_foreground,12,6,0.9157464212678936
noise-aware,dog_bark_foreground,12,6,0.9
baseline,dog_bark_foreground,12,9,0.9259713701431492
noise-aware,dog_bark_foreground,12,9,0.9204498977505112
baseline,dog_bark_foreground,12,12,0.9335378323108384
noise-aware,dog_bark_foreground,12,12,0.9329243353783231
baseline,dog_bark_foreground,12,15,0.9394683026584867
noise-aware,dog_bark_foreground,12,15,0.9443762781186094
baseline,dog_bark_foreground,12,18,0.9445807770961145
noise-aware,dog_bark_foreground,12,18,0.9515337423312883
baseline,dog_bark_foreground,12,21,0.9476482617586912
noise-aware,dog_bark_foreground,12,21,0.9550102249488752
baseline,dog_bark_foreground,12,24,0.9501022494887525
noise-aware,dog_bark_foreground,12,24,0.9568507157464212
baseline,dog_bark_foreground,12,27,0.9525562372188139
noise-aware,dog_bark_foreground,12,27,0.9558282208588957
baseline,dog_bark_foreground,12,30,0.9529652351738241
noise-aware,dog_bark_foreground,12,30,0.9566462167689161
baseline,dog_bark_foreground,15,-3,0.8521472392638036
noise-aware,dog_bark_foreground,15,-3,0.8179959100204499
baseline,dog_bark_foreground,15,0,0.8795501022494887
noise-aware,dog_bark_foreground,15,0,0.8478527607361963
baseline,dog_bark_foreground,15,3,0.9
noise-aware,dog_bark_foreground,15,3,0.8713701431492843
baseline,dog_bark_foreground,15,6,0.9157464212678936
noise-aware,dog_bark_foreground,15,6,0.8948875255623722
baseline,dog_bark_foreground,15,9,0.9286298568507158
noise-aware,dog_bark_foreground,15,9,0.9161554192229039
baseline,dog_bark_foreground,15,12,0.9341513292433538
noise-aware,dog_bark_foreground,15,12,0.9312883435582822
baseline,dog_bark_foreground,15,15,0.9402862985685072
noise-aware,dog_bark_foreground,15,15,0.9408997955010225
baseline,dog_bark_foreground,15,18,0.9429447852760736
noise-aware,dog_bark_foreground,15,18,0.9474437627811861
baseline,dog_bark_foreground,15,21,0.9478527607361963
noise-aware,dog_bark_foreground,15,21,0.9537832310838446
baseline,dog_bark_foreground,15,24,0.9501022494887525
noise-aware,dog_bark_foreground,15,24,0.9554192229038855
baseline,dog_bark_foreground,15,27,0.9515337423312883
noise-aware,dog_bark_foreground,15,27,0.9564417177914111
baseline,dog_bark_foreground,15,30,0.9541922290388548
noise-aware,dog_bark_foreground,15,30,0.9568507157464212
baseline,dog_bark_foreground,18,-3,0.845398773006135
noise-aware,dog_bark_foreground,18,-3,0.8192229038854806
baseline,dog_bark_foreground,18,0,0.87280163599182
noise-aware,dog_bark_foreground,18,0,0.8482617586912066
baseline,dog_bark_foreground,18,3,0.8971370143149284
noise-aware,dog_bark_foreground,18,3,0.874437627811861
baseline,dog_bark_foreground,18,6,0.9139059304703476
noise-aware,dog_bark_foreground,18,6,0.8950920245398774
baseline,dog_bark_foreground,18,9,0.9241308793456032
noise-aware,dog_bark_foreground,18,9,0.9165644171779141
baseline,dog_bark_foreground,18,12,0.9335378323108384
