,seed,noise_snr,noise_test,accuracy
720,6,12,kitchen,0.9341513292433538
721,7,12,kitchen,0.9333333333333333
722,8,12,kitchen,0.938036809815951
723,9,12,kitchen,0.9386503067484663
724,10,12,kitchen,0.9265848670756647
725,11,12,kitchen,0.9421267893660532
726,12,12,kitchen,0.938036809815951
727,13,12,kitchen,0.9384458077709611
728,14,12,kitchen,0.9388548057259714
729,15,12,kitchen,0.9329243353783231
730,16,12,kitchen,0.934560327198364
731,17,12,kitchen,0.9333333333333333
732,18,12,kitchen,0.9325153374233128
733,19,12,kitchen,0.9394683026584867
734,20,12,kitchen,0.9325153374233128
735,21,12,kitchen,0.9310838445807771
736,22,12,kitchen,0.9427402862985685
737,23,12,kitchen,0.9359918200408998
738,24,12,kitchen,0.939877300613497
739,0,12,office,0.9411042944785276
740,1,12,office,0.9543967280163599
741,2,12,office,0.9507157464212679
742,3,12,office,0.9505112474437628
743,4,12,office,0.9456032719836401
744,5,12,office,0.9511247443762781
745,6,12,office,0.9531697341513292
746,7,12,office,0.9474437627811861
747,8,12,office,0.9513292433537832
748,9,12,office,0.9535787321063395
749,10,12,office,0.9505112474437628
750,11,12,office,0.9546012269938651
751,12,12,office,0.9556237218813906
752,13,12,office,0.9445807770961145
753,14,12,office,0.9554192229038855
754,15,12,office,0.9513292433537832
755,16,12,office,0.9507157464212679
756,17,12,office,0.9533742331288344
757,18,12,office,0.9537832310838446
758,19,12,office,0.9482617586912065
759,20,12,office,0.9531697341513292
760,21,12,office,0.9519427402862985
761,22,12,office,0.9548057259713701
762,23,12,office,0.9527607361963191
763,24,12,office,0.9533742331288344
764,0,12,living,0.9456032719836401
765,1,12,living,0.9451942740286299
766,2,12,living,0.9449897750511247
767,3,12,living,0.9492842535787321
768,4,12,living,0.9404907975460123
769,5,12,living,0.945398773006135
770,6,12,living,0.9456032719836401
771,7,12,living,0.9441717791411043
772,8,12,living,0.9462167689161555
773,9,12,living,0.945398773006135
774,10,12,living,0.9527607361963191
775,11,12,living,0.9503067484662576
776,12,12,living,0.9488752556237219
777,13,12,living,0.9470347648261759
778,14,12,living,0.9456032719836401
